Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:05:34,2017-10-30 06:08:02,2m - 27.527s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:05:35,2017-10-30 06:06:09,34.312s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:05:35,2017-10-30 06:05:38,2.808s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:05:38,2017-10-30 06:05:39,1.151s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:05:39,2017-10-30 06:05:51,11.391s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:05:51,2017-10-30 06:06:08,17.742s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:06:08,2017-10-30 06:06:09,0.200s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:06:09,2017-10-30 06:06:09,0.092s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:06:09,2017-10-30 06:06:09,0.139s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:06:09,2017-10-30 06:06:09,0.128s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:06:09,2017-10-30 06:07:24,1m - 14.934s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:06:09,2017-10-30 06:06:45,35.569s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:06:45,2017-10-30 06:06:46,1.522s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:06:46,2017-10-30 06:06:47,0.699s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:06:47,2017-10-30 06:06:47,0.057s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:06:47,2017-10-30 06:06:48,0.415s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:06:48,2017-10-30 06:07:24,36.341s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:07:24,2017-10-30 06:08:01,36.758s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:07:24,2017-10-30 06:07:24,0.020s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:07:24,2017-10-30 06:07:26,1.354s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:07:26,2017-10-30 06:07:27,0.966s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:07:27,2017-10-30 06:07:29,2.437s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:07:29,2017-10-30 06:07:29,0.074s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:07:29,2017-10-30 06:08:01,31.762s,FAILED
