Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:38:42,2017-10-30 06:41:15,2m - 33.721s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:38:42,2017-10-30 06:39:10,27.712s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:38:43,2017-10-30 06:38:46,2.861s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:38:46,2017-10-30 06:38:47,1.162s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:38:47,2017-10-30 06:38:58,11.301s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:38:58,2017-10-30 06:39:09,11.113s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:39:09,2017-10-30 06:39:09,0.193s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:39:09,2017-10-30 06:39:09,0.048s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:39:09,2017-10-30 06:39:10,0.154s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:39:10,2017-10-30 06:39:10,0.191s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:39:10,2017-10-30 06:40:30,1m - 20.229s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:39:10,2017-10-30 06:39:51,41.258s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:39:51,2017-10-30 06:39:52,0.445s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:39:52,2017-10-30 06:39:53,0.916s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:39:53,2017-10-30 06:39:53,0.074s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:39:53,2017-10-30 06:39:54,0.833s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:39:54,2017-10-30 06:40:30,36.363s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:40:30,2017-10-30 06:41:11,40.928s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:40:30,2017-10-30 06:40:30,0.030s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:40:30,2017-10-30 06:40:33,2.787s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:40:33,2017-10-30 06:40:36,2.486s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:40:36,2017-10-30 06:40:38,2.171s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:40:38,2017-10-30 06:40:39,0.721s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:40:39,2017-10-30 06:41:11,32.424s,FAILED
click,Chrome 61.0.3163.100,,2017-10-30 06:41:11,2017-10-30 06:41:11,0.159s,PASSED
,,,,,,
Test Cases/TC04,Chrome 61.0.3163.100,,2017-10-30 06:41:11,2017-10-30 06:41:14,3.174s,FAILED
click,Chrome 61.0.3163.100,,2017-10-30 06:41:11,2017-10-30 06:41:14,3.029s,FAILED
