Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 05:41:06,2017-10-30 05:42:25,1m - 19.095s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 05:41:06,2017-10-30 05:41:16,10.132s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 05:41:07,2017-10-30 05:41:11,3.714s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 05:41:11,2017-10-30 05:41:12,1.161s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 05:41:12,2017-10-30 05:41:16,3.983s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:41:16,2017-10-30 05:41:16,0.250s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:41:16,2017-10-30 05:41:16,0.153s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:41:16,2017-10-30 05:41:16,0.046s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 05:41:16,2017-10-30 05:41:16,0.089s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:41:16,2017-10-30 05:41:16,0.083s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 05:41:16,2017-10-30 05:41:50,33.992s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:41:17,2017-10-30 05:41:35,18.083s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:41:35,2017-10-30 05:41:35,0.481s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:41:35,2017-10-30 05:41:36,0.848s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 05:41:36,2017-10-30 05:41:36,0.069s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:41:36,2017-10-30 05:41:50,14.315s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:41:50,2017-10-30 05:41:50,0.034s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 05:41:51,2017-10-30 05:42:24,33.361s,FAILED
click,Chrome 61.0.3163.100,,2017-10-30 05:41:51,2017-10-30 05:42:24,33.152s,FAILED
