Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:51:45,2017-10-30 06:52:35,50.411s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:51:45,2017-10-30 06:51:54,8.847s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:51:46,2017-10-30 06:51:49,2.896s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:51:49,2017-10-30 06:51:50,1.191s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:51:50,2017-10-30 06:51:53,3.332s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:51:53,2017-10-30 06:51:54,0.272s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:51:54,2017-10-30 06:51:54,0.166s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:51:54,2017-10-30 06:51:54,0.066s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:51:54,2017-10-30 06:51:54,0.154s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:51:54,2017-10-30 06:51:54,0.127s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:51:54,2017-10-30 06:52:25,31.327s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:51:54,2017-10-30 06:52:12,17.685s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:52:12,2017-10-30 06:52:13,0.450s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:13,2017-10-30 06:52:14,1.557s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:52:14,2017-10-30 06:52:14,0.108s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:14,2017-10-30 06:52:15,0.374s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:52:15,2017-10-30 06:52:25,10.860s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:52:25,2017-10-30 06:52:32,6.210s,PASSED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:52:26,2017-10-30 06:52:27,1.418s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:27,2017-10-30 06:52:28,1.312s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:28,2017-10-30 06:52:29,0.939s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:29,2017-10-30 06:52:31,2.024s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:52:31,2017-10-30 06:52:32,0.279s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:32,2017-10-30 06:52:32,0.109s,PASSED
,,,,,,
Test Cases/TC04,Chrome 61.0.3163.100,,2017-10-30 06:52:32,2017-10-30 06:52:34,2.475s,FAILED
click,Chrome 61.0.3163.100,,2017-10-30 06:52:32,2017-10-30 06:52:34,2.370s,FAILED
