Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:21:33,2017-10-30 06:22:56,1m - 23.437s,PASSED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:21:33,2017-10-30 06:21:41,7.987s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:21:34,2017-10-30 06:21:37,2.851s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:21:37,2017-10-30 06:21:38,1.187s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:21:38,2017-10-30 06:21:40,2.666s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:21:40,2017-10-30 06:21:41,0.255s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:21:41,2017-10-30 06:21:41,0.148s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:21:41,2017-10-30 06:21:41,0.048s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:21:41,2017-10-30 06:21:41,0.111s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:21:41,2017-10-30 06:21:41,0.184s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:21:41,2017-10-30 06:22:16,35.166s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:21:41,2017-10-30 06:21:59,17.150s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:21:59,2017-10-30 06:22:00,1.501s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:00,2017-10-30 06:22:01,0.675s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:22:01,2017-10-30 06:22:01,0.060s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:01,2017-10-30 06:22:01,0.394s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:22:01,2017-10-30 06:22:16,15.126s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:22:16,2017-10-30 06:22:55,38.844s,PASSED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:22:17,2017-10-30 06:22:17,0.017s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:17,2017-10-30 06:22:18,1.797s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:18,2017-10-30 06:22:19,0.932s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:19,2017-10-30 06:22:22,3.114s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:22:22,2017-10-30 06:22:23,0.371s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:23,2017-10-30 06:22:55,32.411s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:22:55,2017-10-30 06:22:55,0.101s,PASSED
