Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:02:12,2017-10-30 06:03:34,1m - 21.888s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:02:12,2017-10-30 06:02:21,8.826s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:02:13,2017-10-30 06:02:16,2.915s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:02:16,2017-10-30 06:02:17,1.190s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:02:17,2017-10-30 06:02:20,3.308s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:02:20,2017-10-30 06:02:21,0.299s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:02:21,2017-10-30 06:02:21,0.185s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:02:21,2017-10-30 06:02:21,0.071s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:02:21,2017-10-30 06:02:21,0.130s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:21,2017-10-30 06:02:21,0.129s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:02:21,2017-10-30 06:02:55,33.946s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:21,2017-10-30 06:02:41,19.108s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:02:41,2017-10-30 06:02:41,0.431s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:41,2017-10-30 06:02:43,1.781s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:02:43,2017-10-30 06:02:43,0.061s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:43,2017-10-30 06:02:43,0.382s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:02:43,2017-10-30 06:02:55,11.918s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:02:55,2017-10-30 06:03:33,37.676s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:02:55,2017-10-30 06:02:55,0.022s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:55,2017-10-30 06:02:57,1.461s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:57,2017-10-30 06:02:58,1.269s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:02:58,2017-10-30 06:03:01,2.589s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:03:01,2017-10-30 06:03:01,0.105s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:03:01,2017-10-30 06:03:33,32.129s,FAILED
