Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:31:56,2017-10-30 06:33:18,1m - 22.006s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:31:57,2017-10-30 06:32:05,8.498s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:31:57,2017-10-30 06:32:00,3.053s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:32:00,2017-10-30 06:32:01,1.172s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:32:01,2017-10-30 06:32:04,2.810s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:32:04,2017-10-30 06:32:05,0.313s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:32:05,2017-10-30 06:32:05,0.182s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:32:05,2017-10-30 06:32:05,0.084s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:32:05,2017-10-30 06:32:05,0.131s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:05,2017-10-30 06:32:05,0.137s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:32:05,2017-10-30 06:32:37,31.725s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:05,2017-10-30 06:32:23,17.240s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:32:23,2017-10-30 06:32:23,0.424s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:23,2017-10-30 06:32:25,1.745s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:32:25,2017-10-30 06:32:25,0.074s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:25,2017-10-30 06:32:25,0.358s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:32:25,2017-10-30 06:32:37,11.547s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:32:37,2017-10-30 06:33:15,37.660s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:32:37,2017-10-30 06:32:37,0.017s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:37,2017-10-30 06:32:38,1.363s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:38,2017-10-30 06:32:40,1.310s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:40,2017-10-30 06:32:41,1.738s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:32:41,2017-10-30 06:32:42,0.308s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:32:42,2017-10-30 06:33:14,32.689s,FAILED
click,Chrome 61.0.3163.100,,2017-10-30 06:33:14,2017-10-30 06:33:15,0.123s,PASSED
,,,,,,
Test Cases/TC04,Chrome 61.0.3163.100,,2017-10-30 06:33:15,2017-10-30 06:33:17,2.489s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:33:15,2017-10-30 06:33:15,0.026s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:33:15,2017-10-30 06:33:17,2.305s,FAILED
