Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 05:59:29,2017-10-30 06:00:28,58.266s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 05:59:30,2017-10-30 05:59:39,9.567s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 05:59:30,2017-10-30 05:59:33,2.961s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 05:59:33,2017-10-30 05:59:34,1.186s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 05:59:34,2017-10-30 05:59:38,4.029s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:59:38,2017-10-30 05:59:39,0.305s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:59:39,2017-10-30 05:59:39,0.142s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:59:39,2017-10-30 05:59:39,0.059s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 05:59:39,2017-10-30 05:59:39,0.128s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:59:39,2017-10-30 05:59:39,0.102s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 05:59:39,2017-10-30 06:00:23,44.061s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:59:39,2017-10-30 06:00:09,29.258s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:00:09,2017-10-30 06:00:10,1.460s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:00:10,2017-10-30 06:00:11,0.866s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:00:11,2017-10-30 06:00:11,0.065s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:00:11,2017-10-30 06:00:12,0.431s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:00:12,2017-10-30 06:00:23,11.732s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:00:23,2017-10-30 06:00:27,3.163s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:00:23,2017-10-30 06:00:23,0.017s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:00:23,2017-10-30 06:00:25,1.353s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:00:25,2017-10-30 06:00:26,1.266s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:00:26,2017-10-30 06:00:26,0.391s,FAILED
