Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 04:32:02,2017-10-30 04:32:55,53.243s,PASSED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 04:32:03,2017-10-30 04:32:27,24.123s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 04:32:03,2017-10-30 04:32:06,3.121s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 04:32:06,2017-10-30 04:32:07,1.234s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 04:32:07,2017-10-30 04:32:26,18.382s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 04:32:26,2017-10-30 04:32:26,0.282s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 04:32:26,2017-10-30 04:32:26,0.157s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 04:32:26,2017-10-30 04:32:26,0.056s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 04:32:26,2017-10-30 04:32:26,0.154s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 04:32:26,2017-10-30 04:32:27,0.179s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 04:32:27,2017-10-30 04:32:54,27.757s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 04:32:27,2017-10-30 04:32:52,24.787s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 04:32:52,2017-10-30 04:32:52,0.402s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 04:32:52,2017-10-30 04:32:54,1.916s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 04:32:54,2017-10-30 04:32:54,0.079s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 04:32:54,2017-10-30 04:32:54,0.350s,PASSED
