Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:29:52,2017-10-30 06:30:47,54.337s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:29:53,2017-10-30 06:30:01,8.556s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:29:53,2017-10-30 06:29:56,2.935s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:29:56,2017-10-30 06:29:57,1.194s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:29:57,2017-10-30 06:30:00,2.954s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:30:00,2017-10-30 06:30:01,0.284s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:30:01,2017-10-30 06:30:01,0.381s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:30:01,2017-10-30 06:30:01,0.071s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:30:01,2017-10-30 06:30:01,0.128s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:01,2017-10-30 06:30:01,0.082s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:30:01,2017-10-30 06:30:37,35.399s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:02,2017-10-30 06:30:16,13.997s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:30:16,2017-10-30 06:30:16,0.427s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:16,2017-10-30 06:30:19,3.079s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:30:19,2017-10-30 06:30:19,0.059s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:19,2017-10-30 06:30:20,0.449s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:30:20,2017-10-30 06:30:37,17.089s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:30:37,2017-10-30 06:30:44,6.836s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:30:37,2017-10-30 06:30:37,0.026s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:37,2017-10-30 06:30:38,1.376s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:38,2017-10-30 06:30:40,1.291s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:40,2017-10-30 06:30:43,3.434s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:30:43,2017-10-30 06:30:44,0.600s,FAILED
,,,,,,
Test Cases/TC04,Chrome 61.0.3163.100,,2017-10-30 06:30:44,2017-10-30 06:30:45,1.887s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:30:44,2017-10-30 06:30:44,0.020s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:30:44,2017-10-30 06:30:45,1.676s,FAILED
