Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 05:47:43,2017-10-30 05:48:36,53.046s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 05:47:43,2017-10-30 05:47:53,9.527s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 05:47:44,2017-10-30 05:47:47,2.807s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 05:47:47,2017-10-30 05:47:48,1.189s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 05:47:48,2017-10-30 05:47:52,4.290s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:47:52,2017-10-30 05:47:52,0.259s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:47:52,2017-10-30 05:47:52,0.158s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:47:52,2017-10-30 05:47:53,0.048s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 05:47:53,2017-10-30 05:47:53,0.116s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:47:53,2017-10-30 05:47:53,0.099s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 05:47:53,2017-10-30 05:48:32,38.816s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:47:53,2017-10-30 05:48:18,24.987s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:48:18,2017-10-30 05:48:18,0.432s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:48:18,2017-10-30 05:48:20,1.787s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 05:48:20,2017-10-30 05:48:20,0.065s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:48:20,2017-10-30 05:48:21,0.354s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:48:21,2017-10-30 05:48:32,11.004s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 05:48:32,2017-10-30 05:48:35,3.195s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 05:48:32,2017-10-30 05:48:32,0.025s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:48:32,2017-10-30 05:48:33,1.337s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:48:33,2017-10-30 05:48:34,1.289s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:48:34,2017-10-30 05:48:35,0.407s,FAILED
