Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 05:30:33,2017-10-30 05:32:00,1m - 27.535s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 05:30:33,2017-10-30 05:30:42,9.445s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 05:30:33,2017-10-30 05:30:37,3.213s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 05:30:37,2017-10-30 05:30:38,1.190s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 05:30:38,2017-10-30 05:30:42,3.715s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:30:42,2017-10-30 05:30:42,0.286s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:30:42,2017-10-30 05:30:42,0.150s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:30:42,2017-10-30 05:30:42,0.063s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 05:30:42,2017-10-30 05:30:42,0.103s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:30:42,2017-10-30 05:30:42,0.128s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 05:30:42,2017-10-30 05:31:26,43.826s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:30:43,2017-10-30 05:31:05,22.492s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 05:31:05,2017-10-30 05:31:07,1.620s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:31:07,2017-10-30 05:31:07,0.807s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 05:31:07,2017-10-30 05:31:08,0.072s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 05:31:08,2017-10-30 05:31:08,0.355s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 05:31:08,2017-10-30 05:31:26,18.306s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 05:31:26,2017-10-30 05:31:59,32.709s,FAILED
click,Chrome 61.0.3163.100,,2017-10-30 05:31:26,2017-10-30 05:31:59,32.581s,FAILED
