Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 61.0.3163.100,,2017-10-30 06:10:43,2017-10-30 06:12:08,1m - 25.490s,FAILED
,,,,,,
Test Cases/TC01,Chrome 61.0.3163.100,Login with valid credentials and open NFL Player record,2017-10-30 06:10:43,2017-10-30 06:10:51,7.832s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-30 06:10:44,2017-10-30 06:10:47,2.891s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 06:10:47,2017-10-30 06:10:48,1.176s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-30 06:10:48,2017-10-30 06:10:50,2.357s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:10:50,2017-10-30 06:10:51,0.261s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:10:51,2017-10-30 06:10:51,0.168s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:10:51,2017-10-30 06:10:51,0.098s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-30 06:10:51,2017-10-30 06:10:51,0.168s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:10:51,2017-10-30 06:10:51,0.142s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-30 06:10:51,2017-10-30 06:11:27,35.700s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:10:52,2017-10-30 06:11:13,21.311s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:11:13,2017-10-30 06:11:13,0.417s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:11:13,2017-10-30 06:11:15,1.248s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:11:15,2017-10-30 06:11:15,0.101s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:11:15,2017-10-30 06:11:15,0.393s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-30 06:11:15,2017-10-30 06:11:27,11.791s,PASSED
,,,,,,
Test Cases/TC03,Chrome 61.0.3163.100,,2017-10-30 06:11:27,2017-10-30 06:12:07,40.387s,FAILED
switchToDefaultContent,Chrome 61.0.3163.100,,2017-10-30 06:11:27,2017-10-30 06:11:27,0.023s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:11:27,2017-10-30 06:11:30,2.621s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:11:30,2017-10-30 06:11:31,1.015s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:11:31,2017-10-30 06:11:33,2.035s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 06:11:33,2017-10-30 06:11:33,0.286s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-30 06:11:33,2017-10-30 06:11:33,0.052s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 06:11:33,2017-10-30 06:12:07,34.214s,FAILED
